time,data
115914660,0
368730626,0
662457330,0
944845089,0
1244891127,0
1504137199,0
1783552946,0
2049085805,0
2349779560,0
2597072842,0
2899915663,0
3145921311,0
3409067956,0
3736323665,0
4030381536,0
4306264046,0
4565490277,0
4842846146,0
5122305540,0
5393203425,0
5636834884,0
5948446047,0
6221824417,0
6494505060,0
6787914480,0
7045615743,0
7319488703,0
7573698623,0
7870112200,1
8123445080,2
8413415199,3
8703143386,4
9010397944,4
9275072802,4
9557658567,5
9814528558,5
10074296064,6
10367441398,7
10614358505,7
10919476203,8
11188535956,8
11486968887,8
11772026871,8
12038541686,9
12294130792,9
12587680515,9
12852137627,10
13101049625,10
13369361207,10
13651676205,11
13938112565,11
14226449693,11
14525381395,12
14780482036,12
15070634656,12
15318122475,12
15604742293,12
15848681258,13
16136659693,13
16418794906,14
16674049015,14
16948250387,14
17247731020,15
17550154163,15
17807457140,16
18092361520,16
18361730384,16
18675378249,16
18939923252,18
19263870880,18
19539060850,18
19821911870,18
20125192412,18
20391539117,20
20702030372,20
20951948116,20
21247918177,21
21525167558,21
21809677232,21
22078204144,21
22390713792,22
22650714638,22
22941756428,22
23198099857,23
23467314762,23
23759592553,23
24011315137,23
24312413448,24
24591867343,24
24893196046,25
25170872345,25
25460684987,25
25738924474,25
26039586321,25
26314649558,26
26586654296,26
26897716532,26
27153126637,26
27444254685,27
27740327450,27
28027182955,28
28343297603,28
28632009831,28
28886939146,28
29189656428,28
29487261972,28
29779871534,29
30061120108,29
30343456644,29
30648651335,29
30921414162,29
31217254812,30
31488697258,30
31794729186,30
32048043120,30
32371639662,30
32643243780,30
32962049495,31
33231645471,31
33523882752,31
33788728460,31
34054996235,31
34353017669,31
34621375677,32
34932301251,32
35223687535,32
35536873611,32
35825568582,32
36136872619,33
36405786452,33
36709526091,33
36973282426,33
37241768293,33
37535545339,33
37819460866,34
38117235578,34
38388119616,34
38694349744,34
38965021542,34
39299551094,35
39554880321,35
39862737076,35
40172840866,35
40490726513,35
40770386952,35
41034321515,36
41331337164,36
41619515721,36
41926702051,36
42198194752,36
42496149690,36
42776893121,36
43119495817,37
43387571546,37
43699433229,37
43968784955,37
44240879041,42
44539530757,42
44800087043,42
45083508419,42
45338577971,42
45629421381,42
45922968286,43
46260603592,43
46560935985,44
46857597609,44
47133234517,44
47435008316,44
47708068460,44
47966682294,44
48274905985,45
48528814239,45
48850052366,45
49112711798,46
49395036028,46
49661489221,46
49967337695,46
50254416951,46
50540599068,47
50806594158,47
51092335549,47
51401411434,48
51671834474,48
51948177477,49
52237470872,49
52525813238,50
52823172730,50
53131134460,50
53400929936,50
53697923070,50
53967908353,50
54298936150,51
54609728053,51
54893355303,52
55173683993,52
55446808442,52
55722637914,52
56029638926,52
56361641361,52
56620898339,53
56908468134,53
57173497796,53
57471440427,54
57749394357,54
58036186732,55
58339950744,55
58608055466,56
58934587328,56
59190465451,56
59483080052,57
59730075345,57
60070900317,57
60356719450,57
60678768943,58
60953496981,58
61283681720,59
61586173351,59
61872957878,60
62173241849,60
62460151849,60
62768584024,61
63038239998,61
63342941108,62
63634503913,62
63927439522,63
64216216374,63
64545679269,63
64831151299,63
65098736928,64
65401175059,64
65692422288,64
65981765532,65
66257557357,65
66554710571,65
66841626982,65
67156235775,65
67422969106,65
67716129746,66
67973050529,66
68286599749,67
68562110870,67
68846099945,67
69124263112,67
69392999704,67
69681872545,68
69967439186,68
70296495486,69
70566573663,69
70873359906,69
71161286830,69
71466423685,70
71750110829,70
72062090168,70
72356972420,70
72620698862,70
72912882241,70
73181453915,71
73498170635,71
73745791688,72
74028227944,72
74316278406,72
74640999925,73
74916571769,73
75216124783,73
75482966516,73
75769492757,74
76085090702,75
76382344265,75
76678905611,76
76940743829,76
77238770852,76
77496999246,77
77798951027,77
78109023165,78
78415611264,78
78678844664,78
78986217998,79
79260873234,79
79572064300,80
79875695252,80
80138589282,80
80435532459,80
80722965383,81
81028271590,81
81328809512,81
81633485716,81
81919639677,81
82240373608,82
82530754467,82
82805236290,82
83126447739,83
83412696217,84
83727912295,84
84014688107,84
84338828244,85
84635376074,85
84973465707,86
85300999585,86
85597464234,86
