time,data
6225626665,0
6502656534,0
6744531857,0
7021444248,0
7295543933,0
7549088604,0
7795818787,0
8074592050,0
8300553932,0
8596848782,0
8860165506,0
9128356430,0
9376722434,0
9654337925,0
9922175864,0
10183780738,0
10457950661,0
10686230177,0
10955571094,0
11202238944,0
11442831103,0
11677174739,0
11924538196,0
12166639283,0
12396699598,0
12658914096,0
12899838993,0
13179431718,0
13422822132,0
13682557733,0
13920009023,0
14195235608,0
14439826714,0
14708445004,1
14968353963,2
15242786007,2
15500245476,3
15740745577,3
16001286676,4
16268450926,4
16535174492,4
16791830592,5
17052919957,5
17304243732,6
17584665909,7
17833085558,7
18095475294,8
18334837918,8
18577968285,8
18841226386,8
19079651511,8
19322268690,9
19562445391,9
19806721535,9
20049950097,10
20347498475,10
20589112200,10
20873170037,11
21133654914,11
21391133036,11
21645073095,12
21874554628,12
22158174155,12
22403724763,12
22676026516,12
22940282749,13
23193238537,13
23436290309,14
23740659794,14
24011334335,15
24301019591,15
24586730943,15
24860347917,15
25142960813,16
25394927010,16
25663229408,17
25962233018,17
26258572047,17
26526713169,18
26825979667,18
27089908107,18
27417717204,19
27704550172,20
28003443606,20
28252041913,21
28505857165,21
28783543500,21
29058471195,21
29328407454,22
29592276537,22
29862081901,22
30118721363,22
30370630274,22
30612564658,22
30903524283,23
31156465332,23
31400203526,24
31659561609,24
31903126233,24
32166651503,24
32423301559,24
32717567746,25
32967326188,25
33260444415,25
33512020935,25
33793773690,25
34048382063,25
34332869060,26
34615981341,26
34881412371,27
35184762944,27
35435433155,27
35719652230,27
35999849613,27
36280548537,28
36530741460,28
36811290124,28
37064654725,28
37362566957,28
37619297218,28
37890082252,29
38156964056,29
38424882354,29
38708037242,29
38972915908,29
39256904428,29
39523197291,30
39835213303,30
40120073113,30
40456821199,30
40724521903,30
41023616075,30
41314173175,31
41566242003,31
41849545419,31
42111460195,31
42384621647,31
42647448671,31
42933961973,32
43183195199,32
43501029640,32
43751447205,32
44041020981,32
44315231991,32
44597721809,33
44879100070,33
45161970056,33
45446735979,33
45724180261,33
46008943024,34
46279087837,34
46569979839,34
46838133298,34
47140543111,34
47439926006,34
47740173919,35
48011021267,35
48274697727,35
48551808660,35
48819199459,35
49103010699,35
49365998149,36
49644166527,36
49902171187,36
50198166572,36
50446457171,36
50720087953,37
50968677501,37
51254100590,37
51532173868,37
51800833194,37
52099278455,39
