time,layout.data_offset,data[0],data[1],data[2],data[3],data[4]
115852495,0,-2.5951821780204773,-2.5951821780204773,-2.5951821780204773,-2.5951821780204773,5.74
119294898,0,-2.5951821780204773,-2.5951821780204773,-2.5951821780204773,-2.5951821780204773,5.74
345458734,0,-2.586625661253929,-2.586625661253929,-2.586625661253929,-2.586625661253929,5.74
593211510,0,-2.5672169309854507,-2.5672169309854507,-2.5672169309854507,-2.5672169309854507,5.74
810187224,0,-2.5441636538505557,-2.5441636538505557,-2.5441636538505557,-2.5441636538505557,5.74
1015365800,0,-2.5226273840665816,-2.5226273840665816,-2.5226273840665816,-2.5226273840665816,5.74
1237486302,0,-2.511425341963768,-2.511425341963768,-2.511425341963768,-2.511425341963768,5.74
1445474884,0,-2.511726245880127,-2.511726245880127,-2.511726245880127,-2.511726245880127,5.74
1656742299,0,-2.5266448533535004,-2.5266448533535004,-2.5266448533535004,-2.5266448533535004,5.74
1876992644,0,-2.552232463359833,-2.552232463359833,-2.552232463359833,-2.552232463359833,5.74
2112502371,0,-2.6175905388593677,-2.6175905388593677,-2.6175905388593677,-2.6175905388593677,5.74
2324372144,0,-2.6527018690109254,-2.6527018690109254,-2.6527018690109254,-2.6527018690109254,5.74
2555969269,0,-2.679398495554924,-2.679398495554924,-2.679398495554924,-2.679398495554924,5.74
2777724768,0,-2.7019796323776246,-2.7019796323776246,-2.7019796323776246,-2.7019796323776246,5.74
3002075823,0,-2.7151554262638093,-2.7151554262638093,-2.7151554262638093,-2.7151554262638093,5.74
3214983043,0,-2.719401780962944,-2.719401780962944,-2.719401780962944,-2.719401780962944,5.74
3422845219,0,-2.716196187734604,-2.716196187734604,-2.716196187734604,-2.716196187734604,5.74
3655112432,0,-2.7077902084589005,-2.7077902084589005,-2.7077902084589005,-2.7077902084589005,5.74
3867249802,0,-2.697105810046196,-2.697105810046196,-2.697105810046196,-2.697105810046196,5.74
4105977930,0,-2.686637809276581,-2.686637809276581,-2.686637809276581,-2.686637809276581,5.74
4331029355,0,-2.691634114384651,-2.691634114384651,-2.691634114384651,-2.691634114384651,5.74
4571829280,0,-2.7001591551303865,-2.7001591551303865,-2.7001591551303865,-2.7001591551303865,5.74
4813137388,0,-2.710695068836212,-2.710695068836212,-2.710695068836212,-2.710695068836212,5.74
5054622035,0,-2.74476717710495,-2.74476717710495,-2.74476717710495,-2.74476717710495,5.74
5283019986,0,-2.813487370610237,-2.813487370610237,-2.813487370610237,-2.813487370610237,5.74
5500364481,0,-2.999823532104492,-2.999823532104492,-2.999823532104492,-2.999823532104492,5.74
5754380681,0,-3.0744802057743073,-3.0744802057743073,-3.0744802057743073,-3.0744802057743073,5.74
5966113819,0,-3.1370942223072054,-3.1370942223072054,-3.1370942223072054,-3.1370942223072054,5.74
6188480136,0,-3.152057648897171,-3.152057648897171,-3.152057648897171,-3.152057648897171,5.74
6434147349,0,-3.1256602156162265,-3.1256602156162265,-3.1256602156162265,-3.1256602156162265,5.74
6681864041,0,-3.0923880088329314,-3.0923880088329314,-3.0923880088329314,-3.0923880088329314,5.734554922103871
6900167435,0,-3.039150083065033,-3.039150083065033,-3.039150083065033,-3.039150083065033,5.161099429893484
7131696490,0,-3.0434287691116335,-3.0434287691116335,-3.0434287691116335,-3.0434287691116335,4.644989486904135
7352738758,0,-3.0793932020664214,-3.0793932020664214,-3.0793932020664214,-3.0793932020664214,4.1804905382137205
7578991812,0,-3.143298419713974,-3.143298419713974,-3.143298419713974,-3.143298419713974,3.762441484392349
7809966819,0,-3.2329595756530765,-3.2329595756530765,-3.2329595756530765,-3.2329595756530765,3.386197335953114
8032808057,0,-3.3457692921161652,-3.3457692921161652,-3.3457692921161652,-3.3457692921161652,3.0475776023578036
8253106990,0,-3.469424550533295,-3.469424550533295,-3.469424550533295,-3.469424550533295,2.7428198421220227
8491930914,0,-3.669250068664551,-3.669250068664551,-3.669250068664551,-3.669250068664551,2.46853785790982
8726373511,0,-3.712532334327698,-3.712532334327698,-3.712532334327698,-3.712532334327698,2.221684072118836
8962077515,0,-3.7107994425296784,-3.7107994425296784,-3.7107994425296784,-3.7107994425296784,1.9995156649069503
9198092492,0,-3.6753745496273043,-3.6753745496273043,-3.6753745496273043,-3.6753745496273043,1.7995640984162535
9432020017,0,-3.623889017105103,-3.623889017105103,-3.623889017105103,-3.623889017105103,1.6196076885746273
9673744634,0,-3.58390523314476,-3.58390523314476,-3.58390523314476,-3.58390523314476,1.4576469197171644
9910414962,0,-4.456712367534638,-4.456712367534638,-4.456712367534638,-4.456712367534638,1.3118822277454494
10155812993,0,-5.020745211839676,-5.020745211839676,-5.020745211839676,-5.020745211839676,0.4510688943446816
10389383932,0,-4.132471718788147,-4.132471718788147,-4.132471718788147,-4.132471718788147,-0.5710602288538746
10633512233,0,-4.232195279598236,-4.232195279598236,-4.232195279598236,-4.232195279598236,-0.5139542059684863
10862318321,0,-4.277655891180038,-4.277655891180038,-4.277655891180038,-4.277655891180038,-1.7515855912493214
11093140956,0,-4.6719655835628515,-4.6719655835628515,-4.6719655835628515,-4.6719655835628515,-1.5764270321243903
11336176690,0,-4.803948302268982,-4.803948302268982,-4.803948302268982,-4.803948302268982,-3.952717044327905
11573265487,0,-4.927215926647187,-4.927215926647187,-4.927215926647187,-4.927215926647187,-3.557445339895111
11796516622,0,-5.082452924251556,-5.082452924251556,-5.082452924251556,-5.082452924251556,-3.2017008059056007
12050748915,0,-5.037212986946106,-5.037212986946106,-5.037212986946106,-5.037212986946106,-3.7659339087831945
12288718415,0,-5.1686616396903995,-5.1686616396903995,-5.1686616396903995,-5.1686616396903995,-3.7173922829992323
12530844241,0,-5.336929709911347,-5.336929709911347,-5.336929709911347,-5.336929709911347,-3.3746775086789174
12745640301,0,-5.5173488926887515,-5.5173488926887515,-5.5173488926887515,-5.5173488926887515,-3.822692628817756
12963469409,0,-5.494608494043351,-5.494608494043351,-5.494608494043351,-5.494608494043351,-3.8671758254313513
13208759184,0,-5.6588688457012175,-5.6588688457012175,-5.6588688457012175,-5.6588688457012175,-3.9065883402953268
13437093968,0,-5.826956613063812,-5.826956613063812,-5.826956613063812,-5.826956613063812,-3.8839899218188245
13664854495,0,-5.004696888923645,-5.004696888923645,-5.004696888923645,-5.004696888923645,-3.8952042951941612
13901037668,0,-5.125276734828949,-5.125276734828949,-5.125276734828949,-5.125276734828949,-3.9213827912680084
14122277473,0,-5.224328693151474,-5.224328693151474,-5.224328693151474,-5.224328693151474,-3.9248399913319583
14367673047,0,-5.341617926359177,-5.341617926359177,-5.341617926359177,-5.341617926359177,-3.836109585123618
14611707063,0,5.481508995294571,5.481508995294571,5.481508995294571,5.481508995294571,-3.6848202492638817
14860428759,0,4.779442167282105,4.779442167282105,4.779442167282105,4.779442167282105,-3.6226228903138713
15073308979,0,4.83514993429184,4.83514993429184,4.83514993429184,4.83514993429184,-3.6250412703650614
15307552441,0,5.042730528116226,5.042730528116226,5.042730528116226,5.042730528116226,-3.6256729360678204
15545420363,0,5.174149415493011,5.174149415493011,5.174149415493011,5.174149415493011,-3.547336211464276
15803354442,0,4.526056094169617,4.526056094169617,4.526056094169617,4.526056094169617,-3.4399502232431103
16021141030,0,4.56159902215004,4.56159902215004,4.56159902215004,4.56159902215004,-3.3880562602043978
16242814484,0,4.582398171424866,4.582398171424866,4.582398171424866,4.582398171424866,-3.3783401446326353
16490696148,0,4.795088486671448,4.795088486671448,4.795088486671448,4.795088486671448,-3.3554396520546548
16746598797,0,4.274623587131501,4.274623587131501,4.274623587131501,4.274623587131501,-3.27315601292542
16979204098,0,4.325152522325516,4.325152522325516,4.325152522325516,4.325152522325516,-3.2072006826013304
17257342293,0,4.413246035575867,4.413246035575867,4.413246035575867,4.413246035575867,-3.0625439355310378
17477228518,0,4.536209163665772,4.536209163665772,4.536209163665772,4.536209163665772,-2.8602684833690835
17762202547,0,4.196628060340881,4.196628060340881,4.196628060340881,4.196628060340881,-2.732216316933384
17997950989,0,4.264869784116745,4.264869784116745,4.264869784116745,4.264869784116745,-2.663864868094245
18259800297,0,4.3462038218975065,4.3462038218975065,4.3462038218975065,4.3462038218975065,-2.5385302568205006
18498314228,0,4.537681351900101,4.537681351900101,4.537681351900101,4.537681351900101,-2.3950113212839637
18725088382,0,4.649017169475556,4.649017169475556,4.649017169475556,4.649017169475556,-2.348447210493862
18964579074,0,4.688450807332993,4.688450807332993,4.688450807332993,4.688450807332993,-2.3147816462971074
19226181391,0,4.796811798810959,4.796811798810959,4.796811798810959,4.796811798810959,-2.223258726161575
19455631728,0,4.929994711875915,4.929994711875915,4.929994711875915,4.929994711875915,-2.0973798151743663
19707259192,0,5.018100199699402,5.018100199699402,5.018100199699402,5.018100199699402,-1.95819781877439
19946247992,0,5.1841078126430515,5.1841078126430515,5.1841078126430515,5.1841078126430515,-1.9050424096606533
20193174019,0,4.822727169990539,4.822727169990539,4.822727169990539,4.822727169990539,-1.8551797788301043
20439420088,0,4.909948250055313,4.909948250055313,4.909948250055313,4.909948250055313,-1.757544089425603
20671716151,0,4.986515723466874,4.986515723466874,4.986515723466874,4.986515723466874,-1.6808639426102534
20900955149,0,5.255083160400391,5.255083160400391,5.255083160400391,5.255083160400391,-1.7101304039576597
21137891379,0,5.081904146671295,5.081904146671295,5.081904146671295,5.081904146671295,-1.7810084663204313
21369874018,0,5.196258240938187,5.196258240938187,5.196258240938187,5.196258240938187,-1.7696631546138233
21590670651,0,5.338972572088242,5.338972572088242,5.338972572088242,5.338972572088242,-1.7047908068526312
21820390235,0,5.5020299923419955,5.5020299923419955,5.5020299923419955,5.5020299923419955,-1.6309580634449805
22051629795,0,5.269136861562729,5.269136861562729,5.269136861562729,5.269136861562729,-1.5976873204200845
22277127139,0,5.40017837882042,5.40017837882042,5.40017837882042,5.40017837882042,-1.5842448849775383
22504341071,0,5.332928833961487,5.332928833961487,5.332928833961487,5.332928833961487,-1.6267291420227565
22717147607,0,5.473404604196548,5.473404604196548,5.473404604196548,5.473404604196548,-1.5856815706876268
22945515007,0,5.626713011264801,5.626713011264801,5.626713011264801,5.626713011264801,-1.4833745721832585
23162217143,0,5.809327304363251,5.809327304363251,5.809327304363251,5.809327304363251,-1.3557200304274388
23392289982,0,5.86891551733017,5.86891551733017,5.86891551733017,5.86891551733017,-1.2754573396846927
23610369517,0,-6.071775734424591,-6.071775734424591,-6.071775734424591,-6.071775734424591,-1.227148403484904
23847278664,0,-6.048501954078675,-6.048501954078675,-6.048501954078675,-6.048501954078675,-1.1717615970916768
24076507462,0,-6.2358444929122925,-6.2358444929122925,-6.2358444929122925,-6.2358444929122925,-1.2060602120297161
24306342687,0,-5.237061085700989,-5.237061085700989,-5.237061085700989,-5.237061085700989,-1.2309404001868962
