time,data
78299400,0
356479659,0
649890194,0
931893554,0
1214221548,0
1460698410,0
1752876880,0
2007550454,0
2329081668,0
2588122705,0
2831099768,0
3119712918,0
3373262822,0
3672446340,0
3936482874,0
4236933517,0
4504862580,0
4829351921,0
5091377583,0
5391415769,0
5693649903,0
5936188737,0
6233094019,0
6509515234,0
6785133536,0
7061050430,0
7354701250,0
7628751885,0
7952509202,0
8229630709,0
8558399675,0
8816675466,0
9103325287,0
9362503369,0
9647830824,1
9956942465,2
10222648224,2
10529995555,3
10820337521,4
11147334589,4
11427663216,4
11716396139,5
12016306574,5
12318553631,6
12576534283,6
12848301315,7
13147211217,7
13437919499,8
13726937066,8
13981611858,8
14302209610,8
14555770033,9
14846700893,9
15098150772,9
15380753947,9
15643017419,10
15962899831,10
16239824557,10
16529164957,11
16820534773,11
17088849147,11
17385012059,12
17649457856,12
17951531571,12
18227246103,12
18512730535,12
18782484396,13
19093312217,13
19351172671,14
19638500657,14
19918998876,15
20188682417,15
20478558279,15
20734490170,15
21019822760,16
21289919262,16
21566074566,16
21826249205,17
22123487999,17
22374503228,18
22666653978,18
22938180785,18
23222204769,19
23497044717,20
23752539295,20
24048621520,21
24319413253,21
24606970786,21
24873365816,21
25170700158,22
25459390716,22
25752868533,22
26039883928,22
26314110808,22
26602674244,23
26871288550,23
27159696980,24
27445712441,24
27782865039,24
28063510600,24
28376283710,24
28632012308,25
28948139612,25
29188659847,25
29481749047,25
29753156899,25
30047100940,26
30340083718,26
30603137889,27
30890021272,27
31154411155,27
31434769185,27
31721979813,27
32020112906,28
32276177075,28
32568835041,28
32848930385,28
33182767167,28
33441467327,28
33707593301,29
33995438435,29
34270806907,29
34575208548,29
34882478896,29
35174947451,29
35457934563,30
35779607793,30
36035552494,30
36337489506,30
36606717937,30
36862286701,30
37159541367,31
37413137214,31
37705545181,31
37990793599,31
38282574450,31
38547932682,31
38829499235,32
39115161799,32
39406359810,32
39659572082,32
39963263653,32
40210724396,32
40473903609,32
40750579648,33
41031997740,33
41319552059,33
41576721817,33
41881296690,33
42158669284,33
42469934807,34
42740306129,34
43029726572,34
43284602697,34
43580778595,34
43874454688,34
44135776049,35
44407152440,35
44727167472,35
45035596455,35
45318907657,35
45617609055,35
45900416734,36
46204465982,36
46490794472,36
46816851006,36
47104177068,36
47382977920,36
47660177459,37
47911625555,37
48188564987,37
48461562071,37
48759293332,37
49025132128,41
49319312193,41
49602263799,41
49917007353,41
50171138231,41
50436287015,41
50731010588,41
50989632592,42
51330915480,42
51599909105,42
51907356408,42
52214465465,42
52506641568,43
52773706807,43
53069805493,43
53356271079,43
53673346856,44
53962533866,44
54208872153,44
54519672204,44
54785701898,44
55065979382,44
55355967526,45
55656888856,45
55945778082,45
56227406509,46
56524004489,46
56874046284,46
57179148632,46
57440952015,46
57746207338,47
58039387671,47
58342176309,47
58601035908,48
58900631120,48
59213134356,49
59511404361,49
59789386871,49
60116045971,50
60369764412,50
60682509907,50
61005237665,50
61291402906,50
61573114235,51
61844976387,51
62152205753,51
62444503857,52
62770404774,52
63030183056,52
63328410916,52
63622305891,52
63908999036,52
64167102565,52
64457950633,53
64776876545,53
65038516030,53
65345161270,54
65619535454,54
65914720627,55
66169970483,55
66482290311,56
66748614026,56
67048921688,56
67358517798,57
67671319329,57
67934845072,57
68199629380,57
68475694781,57
68768077392,58
69086752673,58
69368305840,59
69667348129,59
69924949105,60
70254508882,60
70539755263,60
70861066953,61
71128821936,61
71431651511,62
71684383486,62
71941034183,63
72235974211,63
72521724010,63
72822909982,63
73092506112,64
73397756893,64
73670544072,64
73968090320,65
74237135821,65
74549368925,65
74823574305,65
75093808758,65
75383718252,65
75648015389,66
75952584712,66
76263213843,66
76599970583,67
76863315724,67
77162327442,67
77447459541,67
77761355534,68
78029414105,68
78334617846,69
78604701493,69
78877848132,69
79200881625,69
79477932611,69
79766324154,69
80028265297,70
80332789153,70
80628968118,70
80944808397,70
81213418378,70
81529179743,71
81794865900,71
82115512982,71
82402857165,72
82688187499,72
82964971018,72
83225464714,73
83517274441,73
83792161591,73
84099677653,73
84364187408,74
84682574906,74
84983669911,75
85335749637,76
85614280027,76
85885951645,76
86209086074,77
86490817514,78
86803968570,78
87099875746,79
87394134084,79
87659166817,79
87964407656,79
88238974016,80
88557735140,80
88826741935,80
89101295447,81
89397716794,81
89666548322,81
89989237679,81
90303744126,81
90602298773,81
90892932066,82
91213296577,82
91474128620,82
91778870495,83
92100028800,84
92399271081,84
92678751308,84
93000848896,85
93336187038,85
93613386886,86
93908479663,86
94229866405,86
94562002864,86
94842697181,86
95167781215,87
95455858462,87
95772685450,88
96098634146,88
96381802911,88
96713030660,88
97000026552,89
97369289699,89
97672237573,89
97993183700,90
98303727741,90
98637473146,90
98935407463,90
99256028631,90
99552146934,90
99867057581,91
100152776847,91
100435857484,91
100783847223,92
101056580938,92
101349344942,92
101638266773,92
101934896399,92
102229967319,93
102552449139,93
102845544042,93
103150923701,94
103452031436,94
103757625884,94
104093389359,94
104386133058,94
104704799414,95
104976472884,95
105330886103,96
105603059993,96
105932492312,96
106225191976,96
106566803791,97
106888957081,98
107183166170,98
107458101736,99
107739515093,100
108035694936,100
108335978442,100
108630038873,101
108934964812,102
109235995134,103
109558738369,103
109875802314,104
110157021606,105
110477858597,105
110735853968,105
111037949429,107
111312047129,107
111584954582,107
111888621915,107
112161121988,107
112510805601,108
112797221099,108
113113206507,108
113402764832,109
113732249429,109
113983277128,110
114303853994,110
114570292141,110
114874789930,110
115194847445,110
115489087456,110
115812079201,111
116097891805,111
116391073609,111
116667502237,112
116976364086,112
117295283045,112
117595213712,113
117886118679,113
118206266982,113
118490443160,113
118802429654,113
119096355171,113
119418767869,114
119708448031,114
119979391255,114
120281874299,115
120556002259,115
120903695102,116
121197272991,116
121539230706,117
121845057191,117
122142716601,117
122437952734,117
122712622140,117
123008778078,117
123284592586,118
123584820972,118
123869660189,119
124197832583,119
124491212608,119
124804529398,120
125074892327,120
125385554293,121
125657568596,121
125939826304,121
126243895490,121
126524255142,121
126835354708,121
127117128221,122
127434269646,122
127705987813,123
128000917329,123
128290588557,123
128605658579,124
128904472126,124
129207980414,124
129551921175,124
129842367505,125
130184114216,125
130505099456,126
130810297337,126
131096099143,126
131386569304,127
131679332928,127
131979064807,128
132246519281,128
132552717941,128
132815285154,128
133096750924,129
133383716859,129
133648158267,130
133948015417,130
134244701700,131
134585993622,131
134854197155,131
135147269433,132
135422946958,133
135727657056,133
136021005452,134
136310017149,134
136621083498,134
136888270097,135
137208725389,135
137503030097,136
137847684702,136
138141593899,137
138436865285,137
138718261652,137
139028361425,137
139318470074,138
139638095495,138
139914062656,139
140215279384,139
140530120690,140
140861663271,140
141168722028,140
141476317216,140
141771296729,141
142045815357,141
142379356920,142
142638192510,142
142955180873,142
143252859893,142
143563508888,143
143851703819,143
144125069167,143
144409709488,143
144702245778,143
145009253826,144
145296247068,144
145624990251,144
145901410615,144
146217050825,144
146504910328,145
146798945767,145
147060490338,145
147345506472,145
147631001214,145
147893684938,145
148189889177,146
148463046095,146
148767020119,146
149048600528,146
149357351607,146
149637958596,147
149941959151,147
150218511172,147
150529108320,147
150827474015,147
151125114904,147
151438412671,148
151697205035,148
151999859115,148
152275602682,148
152582680741,148
152867542928,149
153159969479,149
153428086811,149
153737975166,150
154034232025,150
154318650289,150
154624043033,150
154881466701,150
155205831923,150
155526088803,151
155837626068,151
156134929594,152
156478473071,152
156766022900,152
157074747593,152
157334352813,153
157636459285,153
157935324659,154
158231601609,154
158537265323,154
158867874081,154
159179551066,154
159458121349,155
159770097775,155
160049421531,156
160394052650,156
160676625751,156
160982113200,156
161258623141,156
161547454175,157
161851744653,157
162152537076,157
162466833006,158
162751243948,158
163050322880,158
163330582300,158
163631542761,159
163929732467,160
164232493096,160
164541027377,160
164846752202,160
165136120340,161
165418277362,161
165750520222,161
166070339572,161
166400968665,161
166695911025,161
167017769653,162
167312412710,162
167612670291,162
167913511858,163
168234885418,163
168528982456,163
168816570837,163
169134754826,163
169410872898,164
169705158970,164
169972670338,164
170281306769,165
170573824488,165
170896062606,165
171181063831,165
171487559807,165
171786054817,165
172093301802,166
172390181130,166
172668539770,167
172988185519,167
173266739377,167
173592713956,167
173867897529,167
174178121236,168
174446504265,168
174757997307,168
175031549540,169
175352194883,169
175624714573,170
175928432711,170
176219720771,170
176538144273,173
176869192590,173
177145298457,173
177463393701,173
177754493932,173
178106748686,173
178400519033,173
178719295932,173
179008563434,174
179323256359,174
179606957860,174
179883759438,174
180213753978,174
180558283220,174
180915309840,175
181182938913,175
181511157238,175
181796915596,176
182109102253,176
182390008178,176
182730270412,177
183012030378,177
183314761707,177
183617507046,178
183925458007,178
184228859428,178
184522702073,178
184833332648,178
185108512576,178
185424418643,179
185708746244,179
186008094887,180
186303709398,180
186621066743,180
186913214861,180
187201297363,180
187510580504,181
187808943124,181
188130160698,182
188419265751,182
188728527686,182
188998775944,182
189316236100,182
189592530262,183
189906395017,183
190196879945,184
190520385471,184
190790510379,184
191067540069,184
191370428718,184
191652631509,184
191952967791,185
192274899375,185
192595993717,185
192916291442,185
193226162655,185
193488430552,185
193799089151,186
194062334787,186
194366611101,186
194664609726,186
194933430641,186
195250317944,186
195535607018,186
195839272249,187
196098739103,188
196400612020,189
196695423719,189
196990013399,189
197306817367,189
197648258971,189
197918715583,190
198196890613,190
198509536554,190
198775500957,191
199071133211,191
199337551144,191
199657232094,191
199961640447,191
200279580171,191
200568308236,191
200887434899,192
201167021747,192
201477126953,193
201807115392,193
202096095732,193
202412603193,193
202699344485,193
203019070255,194
203304866955,194
203620417156,194
203905032455,194
204241231428,194
204560008241,195
204867400053,195
205138277120,196
205400461911,196
205712995675,196
205967011043,197
206269334786,199
206528124698,200
206816307128,201
207083139842,203
207414489920,204
207689584054,205
208008539587,207
208308891285,208
208627598539,209
208931239754,211
209208408609,212
209517379403,214
209781312012,215
210115101355,216
210384427762,218
210710316975,220
211007366228,220
211345831536,220
211656640443,220
211973595604,220
212254185318,221
212557176889,221
212855966256,221
213121570359,221
213412204920,222
213705896281,222
214009404185,223
214298494480,223
214611598484,223
214892289519,223
215233210177,223
215537268339,224
215822047230,224
216137707848,224
216419209936,224
216717868609,224
216993049423,224
217281127382,225
217557133781,225
217843936166,225
218140115862,225
218485546828,225
218824170817,225
219182292291,226
219481042920,226
219763007849,226
220068600985,226
220375164528,226
220674403771,227
220950124694,227
221250095003,228
221536671737,228
221858883552,228
222176617636,228
222488026895,228
222762010866,228
223024228273,229
223331655092,229
223611841853,229
223926514719,229
224207318440,229
224520879306,229
224802670203,230
225114475853,231
225387310367,231
225707398866,231
225973805724,231
226287848915,231
226577814939,232
226869218988,232
227179875046,232
