time,data
77695590,0
355807400,0
649232799,0
931206647,0
1213789729,0
1460246350,0
1752377392,0
2006913210,0
2328408981,0
2587407686,0
2830564498,0
3119030469,0
3372596758,0
3671760542,0
3935802379,0
4236461568,0
4504223004,0
4828613105,0
5090657981,0
5390760367,0
5693140024,0
5935575676,0
6232626332,0
6509044578,0
6784662882,0
7060486051,0
7354259536,0
7627462725,0
7952026981,0
8228909177,0
8557895755,0
8816004164,0
9102619475,0
9362017821,0
9646888585,0
9956251165,0
10222167055,1
10529367241,2
10819584829,3
11146861425,3
11427091311,3
11715655009,4
12015618766,4
12318039553,4
12575937679,4
12848287568,5
13146658672,5
13437242810,6
13726307984,6
13980938307,7
14301601505,7
14555194792,8
14846195096,8
15097626385,8
15380001311,8
15642318950,8
15962450015,9
16239162197,9
16528589334,9
16819994676,10
17088150285,10
17384398985,10
17649438319,11
17950810957,11
18226541117,11
18512077382,12
18781826656,12
19092676859,12
19350684465,12
19637969938,12
19918453916,13
20187990336,13
20478151494,14
20733959037,14
21019097865,15
21289178265,15
21565622808,15
21825665339,15
22122934555,15
22374036927,16
22666074911,16
22937724028,17
23221500695,17
23496516581,18
23751275510,18
24048076744,18
24318860241,19
24606469608,19
24872817446,20
25170340085,20
25458677896,21
25752407870,21
26039247592,21
26313361446,21
26602122044,22
26870811104,22
27159268334,22
27445013182,22
27782313750,23
28062970681,23
28375813034,24
28631339659,24
28947420927,24
29188216604,24
29481113976,24
29752597058,25
30046557915,25
30339609110,25
30602675702,25
30889359506,26
31153805406,26
31434195277,26
31721328490,27
32018766544,27
32275674320,27
32568279098,27
32847634341,27
33182358854,28
33440942603,28
33706677142,28
33994938971,28
34270302587,28
34575047990,28
34881778300,29
35174468360,29
35457289237,29
35778953216,29
36035002966,30
36336541992,31
36606253188,32
36861745859,32
37159045391,33
37412490726,33
37704866994,34
37990323274,34
38282094918,35
38547255048,35
38829053697,35
39114366295,36
39406356551,36
39658323789,37
39962775306,37
40210180849,38
40473355204,38
40750074232,38
41031356329,38
41319036170,38
41576209155,38
41880593255,38
42158197109,38
42469415954,38
42739606558,38
43029064734,38
43283923651,38
43580146392,38
43873804851,38
44135074174,40
44406464984,41
44726686837,42
45034929019,50
45318460884,50
45617129740,50
45899972708,50
46203754211,50
46490318919,50
46816193687,51
47103505474,51
47382539197,51
47659061873,51
47911150207,51
48188033743,52
48460877014,52
48758781317,52
49024588022,52
49318789400,52
49601768554,52
49916510706,52
50170661133,52
50435837147,53
50730429078,53
50988946533,53
51330179083,53
51599451098,53
51906581634,54
52213940650,56
52505975835,57
52773158492,57
53069316015,57
53355580530,57
53672777577,57
53960895636,57
54208346715,57
54519155343,57
54785238801,58
55065439372,58
55355315691,58
55655378499,58
55945167730,58
56226626702,58
56523330271,58
56873364079,58
57178570168,58
57440232892,58
57745596097,59
58038702315,59
58341499558,59
58599627147,59
58900120797,59
59212480681,59
59510830677,59
59788821242,59
60115385700,59
60369195151,59
60681769072,60
61004559859,60
61290744692,60
61572651402,60
61844402454,60
62151510746,60
62443765292,60
62769816398,60
63029521764,60
63327717511,60
63621728020,60
63908334113,60
64166435434,60
64457179967,60
64776858915,60
65037777008,60
65344597674,60
65618897283,60
65914220124,60
66169535648,60
66481729643,60
66747935394,61
67048144497,61
67357897487,61
67670557083,61
67934366269,61
68199189216,61
68475198211,61
68767588737,61
69086088709,61
69367869235,62
69666603445,62
69924382663,62
70253999891,62
70539049256,62
70860395211,62
71128181879,62
71431058427,63
71683762215,63
