time,data
191667209,0
478513669,0
726640190,0
1010473386,0
1282228716,0
1571746743,0
1826716171,0
2114335704,0
2377089614,0
2664620886,0
2944143735,0
3249247187,0
3492575706,0
3769636152,0
4048320667,0
4324851520,0
4604789129,0
4866281104,0
5155091767,0
5394588152,0
5676406231,0
5966041528,0
6248964889,0
6491860966,0
6756591363,0
7039641558,0
7303063802,0
7603727082,2
7859999900,2
8138804767,3
8397272734,4
8688281363,4
8955719203,4
9233394049,5
9489733250,5
9770984737,6
10037953467,6
10306158244,7
10602756253,8
10863849173,8
11162525082,8
11430358563,8
11705364272,8
11971893338,9
12258414622,9
12519275834,9
12789869177,10
13053645359,10
13325767591,10
13585639008,11
13850546790,11
14158506804,11
14442078461,12
14704000926,12
14979608308,12
15272506092,12
15533494523,12
15807964444,13
16078494426,13
16389226587,14
16642117284,14
16930310101,14
17228476857,15
17528108775,15
17816346192,15
18082682058,16
18393007282,16
18689714047,16
18965830400,16
19222117199,18
19517020378,18
19772174302,18
20061643142,18
20336902045,18
20586224647,20
20889090041,20
21153428740,20
21451699699,20
21715948006,21
22011212704,21
22257729176,21
22553550677,22
22790840862,22
23061382956,22
23307569811,22
23580029110,23
23871574704,23
24129792469,23
24415585912,24
24683912687,24
24962441285,24
25210582395,25
25511439810,25
25785605756,25
26091842341,25
26337209695,25
26633521680,26
26894214117,26
27143372161,26
27433875506,26
27690400114,27
27965543853,27
28231677525,27
28517629074,28
28786668202,28
29051452870,28
29304783083,28
29628996656,28
29892055577,28
30143733643,29
30454726447,29
30727087764,29
31029817241,29
31278323455,29
31569916891,29
31821223179,30
32097753128,30
32347538647,30
32644614826,30
32894928977,30
33185024206,30
33438390561,31
33683615164,31
33949320484,31
34198068846,31
34477841829,31
34729960804,31
34995845801,32
35234475340,32
35507378413,32
35804491599,32
36085350236,32
36334025421,32
36582626346,33
36858021633,33
37111434969,33
37401054906,33
37679224361,33
37968866799,33
38252840802,34
38543372220,34
38831553674,34
39098976064,34
39352162318,34
39665071303,34
39932762889,35
40181394178,35
40454560829,35
40733870669,35
41015041369,35
41283546454,36
41570253892,36
41848209362,36
42137267631,36
42411877596,36
42703494856,36
42960569292,37
