time,data
191118405,0
477986299,0
725921040,0
1009907485,0
1281781832,0
1571206351,0
1826010962,0
2113771822,0
2376479373,0
2663940435,0
2944097989,0
3248792457,0
3492093037,0
3768906124,0
4047724176,0
4324284414,0
4604212983,0
4865578492,0
5154647104,0
5393838673,0
5675874595,0
5965341171,0
6248381868,0
6491298554,0
6755294361,0
7039226042,2
7302266458,2
7603222338,2
7859541798,4
8138095211,4
8396685367,4
8687592623,4
8955294171,4
9232760390,5
9489114377,5
9769733013,6
10037640439,6
10305449999,6
10602080656,7
10863342062,7
11161807241,8
11429651974,8
11704822586,8
11971219454,8
12257913561,8
12518671979,9
12789137164,9
13053017734,10
13325261922,10
13585408916,10
13850091177,11
14158000441,11
14441341118,11
14703323093,12
14979138163,12
15271932087,12
15532519735,12
15807243693,12
16078316679,12
16388495799,13
16641483269,13
16929752816,13
17227798588,14
17527385238,14
17815662836,15
18082178510,15
18392362121,15
18689710076,15
18965824661,15
19221593215,16
19516344573,16
19771694622,17
20061165121,17
20336379019,17
20585481340,18
20888440142,18
21152901330,18
21451201832,18
21715237627,19
22010632299,20
22257220270,20
22552889644,21
22790283392,21
23060813650,21
23306891370,21
23579316968,22
23870843367,22
24128875304,22
24414896441,22
24683381085,23
24962012751,23
25210116074,24
25510748772,24
25784913692,24
26091274733,24
26336663806,24
26632992551,25
26893555909,25
27142891187,25
27433139732,25
27689780798,26
27965081952,26
28231058351,27
28517113305,27
28786197653,27
29050896493,27
29304043561,27
29628308752,28
29891427608,28
30143061070,28
30453981765,28
30726513678,28
31029346119,28
31277296203,29
31569213044,29
31820705460,29
32097227641,30
32346864986,32
32643863377,32
32894463279,32
33184485199,32
33437780389,32
33683092541,32
33948723190,32
34197350345,32
34477234523,32
34728932539,32
34995360429,33
35233884064,34
35506734714,34
35803914548,34
36084900614,34
36333487313,34
36582177618,34
36857416725,37
37110685113,37
37400341426,37
37678689661,37
37968270108,37
38252117707,37
38542825563,37
38831038070,37
39098520123,37
39351549756,37
39664535380,37
39932217096,37
40180755733,38
40454021506,38
40733075699,38
41014543402,38
41282869078,38
41569646995,38
41847485875,38
42136666135,38
42411356082,38
42702978356,38
42960057929,38
43201666970,40
43484502132,40
43750330980,40
