time,layout.data_offset,data[0],data[1],data[2],data[3],data[4]
21796744119,0,-2.87,-2.87,-2.87,-2.87,5.74
22341298360,0,-2.87,-2.87,-2.87,-2.87,5.74
23274722521,0,-2.87,-2.87,-2.87,-2.87,5.74
24232344295,0,-2.87,-2.87,-2.87,-2.87,5.74
25213109607,0,-2.87,-2.87,-2.87,-2.87,5.74
26182247291,0,-2.87,-2.87,-2.87,-2.87,5.74
27139658034,0,-2.87,-2.87,-2.87,-2.87,5.74
28199096397,0,-2.87,-2.87,-2.87,-2.87,5.74
29186357775,0,-2.87,-2.87,-2.87,-2.87,5.74
30204338501,0,-2.87,-2.87,-2.87,-2.87,5.74
31271294410,0,-2.87,-2.87,-2.87,-2.87,5.74
32294864874,0,-2.87,-2.87,-2.87,-2.87,5.74
33341008064,0,-2.87,-2.87,-2.87,-2.87,5.74
34398591753,0,-2.87,-2.87,-2.87,-2.87,5.74
35498680963,0,-2.87,-2.87,-2.87,-2.87,5.74
36452612148,0,-1.148000017106533,-1.148000017106533,-1.148000017106533,-1.148000017106533,5.74
37430916190,0,-2.87,-2.87,-2.87,-2.87,5.74
38427521998,0,-2.87,-2.87,-2.87,-2.87,4.608965301513659
39414824450,0,-2.87,-2.87,-2.87,-2.87,-2.186763017177593
40370944443,0,-2.87,-2.87,-2.87,-2.87,-4.197080014944088
41351591834,0,-2.87,-2.87,-2.87,-2.87,-2.09854000747205
42336379953,0,-2.87,-2.87,-2.87,-2.87,-4.103744803369046
43288161054,0,-2.87,-2.87,-2.87,-2.87,-2.051872401684523
44241747769,0,-8.61,-8.61,-8.61,-8.61,-9.618733871206642
45160456808,0,-2.87,-2.87,-2.87,-2.87,-4.809366935603321
46148715968,0,-2.87,-2.87,-2.87,-2.87,-3.2248151816647925
47162973599,0,-2.87,-2.87,-2.87,-2.87,-2.6133754634069044
48201273007,0,-2.87,-2.87,-2.87,-2.87,-1.2300435176448148
49305548483,0,-2.87,-2.87,-2.87,-2.87,-0.7369466274780673
50397066402,0,-2.87,-2.87,-2.87,-2.87,-0.6302852140564726
51500147918,0,-2.87,-2.87,-2.87,-2.87,-0.3547097186406001
52452216706,0,-8.61,-8.61,-8.61,-8.61,0.03412730427027913
53408716551,0,8.61,8.61,8.61,8.61,-1.4598453413550592
54407077317,0,2.87,2.87,2.87,2.87,-3.266121285442275
55385358874,0,2.87,2.87,2.87,2.87,-3.17585018884946
56383306373,0,2.87,2.87,2.87,2.87,-2.2357211745032077
57403689872,0,2.87,2.87,2.87,2.87,-1.025754732829516
58385485927,0,2.87,2.87,2.87,2.87,-0.15600302291714785
59397131372,0,2.87,2.87,2.87,2.87,-0.07104128737570378
60434496778,0,2.87,2.87,2.87,2.87,0.027375066447453224
61539971832,0,2.87,2.87,2.87,2.87,-0.17209550846013427
62556371698,0,2.87,2.87,2.87,2.87,-0.2867232863676647
63629786796,0,2.87,2.87,2.87,2.87,-0.24035711338268043
64637972682,0,8.61,8.61,8.61,8.61,0.07330820780643472
65678866097,0,8.61,8.61,8.61,8.61,-0.6199353879529591
66719366665,0,8.61,8.61,8.61,8.61,-2.5371462290765256
67818910641,0,8.61,8.61,8.61,8.61,-2.950856966442766
68837131391,0,8.61,8.61,8.61,8.61,-2.7923896802753676
69883353574,0,2.87,2.87,2.87,2.87,-3.4104706556307245
70955996106,0,-2.87,-2.87,-2.87,-2.87,-2.5347065812953224
71995289008,0,-2.87,-2.87,-2.87,-2.87,-1.1970724103590615
73004075663,0,-2.87,-2.87,-2.87,-2.87,-0.7638979433704025
74145524579,0,-2.87,-2.87,-2.87,-2.87,-0.6407161650599308
75189048951,0,-2.87,-2.87,-2.87,-2.87,-0.41353749211879454
76196139031,0,-2.87,-2.87,-2.87,-2.87,-0.2619103317492008
77223084499,0,-2.87,-2.87,-2.87,-2.87,-0.13205631070128787
78196414659,0,-2.87,-2.87,-2.87,-2.87,-0.002461923291441757
79275450684,0,-8.61,-8.61,-8.61,-8.61,0.049927570423504486
80300840494,0,-2.87,-2.87,-2.87,-2.87,-0.19599573705927698
81327840894,0,-2.87,-2.87,-2.87,-2.87,-0.449106660573939
82384170487,0,-2.87,-2.87,-2.87,-2.87,-0.2567059866328101
83422031988,0,-2.87,-2.87,-2.87,-2.87,-0.119342377157605
84512012706,0,-2.87,-2.87,-2.87,-2.87,0.06945480384586332
85592446884,0,-2.87,-2.87,-2.87,-2.87,0.25534845892939256
86665299752,0,-8.61,-8.61,-8.61,-8.61,0.348155961977906
87777228152,0,-8.61,-8.61,-8.61,-8.61,0.3940707050914242
88815500418,0,-2.87,-2.87,-2.87,-2.87,-0.07796649313938346
89876134387,0,-2.87,-2.87,-2.87,-2.87,0.3387127590906152
90856787364,0,-2.87,-2.87,-2.87,-2.87,0.6129218026146885
91928735686,0,-2.87,-2.87,-2.87,-2.87,0.08361653265108523
92943651115,0,-2.87,-2.87,-2.87,-2.87,0.4004860609037598
93867375432,0,-2.87,-2.87,-2.87,-2.87,0.785004158208782
94759892239,0,-2.87,-2.87,-2.87,-2.87,1.0977183505518138
95795492603,0,-2.87,-2.87,-2.87,-2.87,0.3070848542501893
96835374460,0,-2.87,-2.87,-2.87,-2.87,0.47569562496261525
97856389994,0,-2.87,-2.87,-2.87,-2.87,0.7696904955478723
98908357967,0,-2.87,-2.87,-2.87,-2.87,1.0288095701760382
99899335360,0,-2.87,-2.87,-2.87,-2.87,0.47206531030196786
100942840028,0,-2.87,-2.87,-2.87,-2.87,1.0303989367674176
101980502079,0,-2.87,-2.87,-2.87,-2.87,0.5276484368166802
103060751434,0,-2.87,-2.87,-2.87,-2.87,0.6038051652432552
104142253596,0,-2.87,-2.87,-2.87,-2.87,0.48185900398671294
105205631880,0,-1.148000017106533,-1.148000017106533,-1.148000017106533,-1.148000017106533,0.9445845359757744
106289052390,0,-1.148000017106533,-1.148000017106533,-1.148000017106533,-1.148000017106533,0.6844887988212075
107273205480,0,-2.87,-2.87,-2.87,-2.87,0.891316796120392
108242333765,0,-1.148000017106533,-1.148000017106533,-1.148000017106533,-1.148000017106533,1.8190079192268251
109282727502,0,-1.148000017106533,-1.148000017106533,-1.148000017106533,-1.148000017106533,1.7346741802830048
110337219331,0,-1.148000017106533,-1.148000017106533,-1.148000017106533,-1.148000017106533,1.7998523915397056
111364510661,0,-1.148000017106533,-1.148000017106533,-1.148000017106533,-1.148000017106533,2.3722634697742877
112359395985,0,-1.148000017106533,-1.148000017106533,-1.148000017106533,-1.148000017106533,1.634053821948035
113360594827,0,-1.148000017106533,-1.148000017106533,-1.148000017106533,-1.148000017106533,2.5586518512954015
114367437401,0,-1.148000017106533,-1.148000017106533,-1.148000017106533,-1.148000017106533,2.6160273815654937
115338072309,0,-1.148000017106533,-1.148000017106533,-1.148000017106533,-1.148000017106533,2.5100302666244034
116359226718,0,-1.148000017106533,-1.148000017106533,-1.148000017106533,-1.148000017106533,2.827174254641045
117359182677,0,-1.148000017106533,-1.148000017106533,-1.148000017106533,-1.148000017106533,2.083701398110633
118390887121,0,-1.148000017106533,-1.148000017106533,-1.148000017106533,-1.148000017106533,2.6888433640874543
119422440845,0,-2.87,-2.87,-2.87,-2.87,2.640959852312755
120468082206,0,-1.148000017106533,-1.148000017106533,-1.148000017106533,-1.148000017106533,1.8163881929964076
121508860570,0,-1.148000017106533,-1.148000017106533,-1.148000017106533,-1.148000017106533,2.27261936173241
122500400152,0,-1.148000017106533,-1.148000017106533,-1.148000017106533,-1.148000017106533,2.1436023160236775
123573670709,0,-1.148000017106533,-1.148000017106533,-1.148000017106533,-1.148000017106533,1.8021871995538592
124587128820,0,-1.148000017106533,-1.148000017106533,-1.148000017106533,-1.148000017106533,1.2605113909007513
