time,layout.data_offset,data[0],data[1],data[2],data[3],data[4]
146223993,0,0.0,0.0,0.0,0.0,10.678327892782878
154558128,0,0.0,0.0,0.0,0.0,5.339163946391439
1151265970,0,-2.6263040935993196,-2.6263040935993196,-2.6263040935993196,-2.6263040935993196,11.48
2099903947,0,-2.6263040935993196,-2.6263040935993196,-2.6263040935993196,-2.6263040935993196,11.48
3168592044,0,-2.6263040935993196,-2.6263040935993196,-2.6263040935993196,-2.6263040935993196,11.48
4219092427,0,-2.6263040935993196,-2.6263040935993196,-2.6263040935993196,-2.6263040935993196,11.48
5228412945,0,-2.6263040935993196,-2.6263040935993196,-2.6263040935993196,-2.6263040935993196,11.48
6226539696,0,-2.6263040935993196,-2.6263040935993196,-2.6263040935993196,-2.6263040935993196,11.48
7198586567,0,-2.6263040935993196,-2.6263040935993196,-2.6263040935993196,-2.6263040935993196,11.48
8302767313,0,-2.6263040935993196,-2.6263040935993196,-2.6263040935993196,-2.6263040935993196,10.632641385672562
9295172672,0,-2.6263040935993196,-2.6263040935993196,-2.6263040935993196,-2.6263040935993196,5.316320692836277
10338103708,0,-2.6263040935993196,-2.6263040935993196,-2.6263040935993196,-2.6263040935993196,2.6581603464181325
11299950574,0,-2.6263040935993196,-2.6263040935993196,-2.6263040935993196,-2.6263040935993196,1.3290801732090662
12378134707,0,-2.6263040935993196,-2.6263040935993196,-2.6263040935993196,-2.6263040935993196,0.6645400866045268
13450881028,0,-2.6263040935993196,-2.6263040935993196,-2.6263040935993196,-2.6263040935993196,0.3322700433022634
14425872421,0,-2.6263040935993196,-2.6263040935993196,-2.6263040935993196,-2.6263040935993196,0.16613502165112531
15449053648,0,-2.6263040935993196,-2.6263040935993196,-2.6263040935993196,-2.6263040935993196,0.08306751082556266
16485094532,0,-2.6263040935993196,-2.6263040935993196,-2.6263040935993196,-2.6263040935993196,0.0415337554127877
17514776610,0,-2.6263040935993196,-2.6263040935993196,-2.6263040935993196,-2.6263040935993196,0.02076687770639385
18498140373,0,-2.6263040935993196,-2.6263040935993196,-2.6263040935993196,-2.6263040935993196,0.010383438853196925
19583341114,0,-2.6263040935993196,-2.6263040935993196,-2.6263040935993196,-2.6263040935993196,0.005191719426598462
20587207756,0,-2.6263040935993196,-2.6263040935993196,-2.6263040935993196,-2.6263040935993196,0.002595859713305604
21768818437,0,-2.87,-2.87,-2.87,-2.87,0.001297929856652802
22837623523,0,-2.87,-2.87,-2.87,-2.87,0.0006489649283327736
23894010588,0,-2.87,-2.87,-2.87,-2.87,0.0003244824641663868
24960124682,0,-2.87,-2.87,-2.87,-2.87,-6.537500557830896
25949319820,0,-2.87,-2.87,-2.87,-2.87,-3.268750278915448
26929186855,0,-2.87,-2.87,-2.87,-2.87,-4.856942154151927
28104215816,0,-2.87,-2.87,-2.87,-2.87,-2.4284710770759634
29193516722,0,-2.87,-2.87,-2.87,-2.87,-7.549067327077869
30307291414,0,-2.87,-2.87,-2.87,-2.87,-3.7745336635389397
31359605309,0,-2.87,-2.87,-2.87,-2.87,-1.887266831769464
32342953761,0,-2.87,-2.87,-2.87,-2.87,-3.780490050704714
33441873608,0,-2.87,-2.87,-2.87,-2.87,-2.1570868968876664
34443227416,0,-2.87,-2.87,-2.87,-2.87,-2.197346534821515
35474704831,0,-2.87,-2.87,-2.87,-2.87,-1.8495272708511776
36460131153,0,-2.87,-2.87,-2.87,-2.87,-1.6617980670078392
37520183332,0,-2.87,-2.87,-2.87,-2.87,-1.650561515690021
38525656179,0,-2.87,-2.87,-2.87,-2.87,-1.6481749212380659
39519493765,0,-2.87,-2.87,-2.87,-2.87,-1.714799144116533
40532258378,0,-2.87,-2.87,-2.87,-2.87,-1.6931682979595812
41540210352,0,-2.87,-2.87,-2.87,-2.87,-1.615398590838949
42595045074,0,-2.87,-2.87,-2.87,-2.87,-1.550221598579043
43615764770,0,2.87,2.87,2.87,2.87,-1.533556489384643
44660276020,0,2.87,2.87,2.87,2.87,-1.682038435470585
45783144219,0,2.87,2.87,2.87,2.87,-1.7207286497519212
46895401371,0,2.87,2.87,2.87,2.87,-1.659434266592782
48085951497,0,2.87,2.87,2.87,2.87,-1.5842595095035739
49168451540,0,2.87,2.87,2.87,2.87,-1.5129802745754406
50247907279,0,2.87,2.87,2.87,2.87,-1.5302642440388696
51424528519,0,2.87,2.87,2.87,2.87,-1.5585800747003253
52522539203,0,2.87,2.87,2.87,2.87,-1.5823520268955071
53630201111,0,2.87,2.87,2.87,2.87,-1.5542401403865012
54677406154,0,2.87,2.87,2.87,2.87,-1.4947282794065713
55686931811,0,2.87,2.87,2.87,2.87,-1.4401388168439053
56801237310,0,2.87,2.87,2.87,2.87,-1.4052882533734183
57879607072,0,2.87,2.87,2.87,2.87,-1.3702615303600063
58963376319,0,2.87,2.87,2.87,2.87,-1.306071494802195
60127583982,0,2.87,2.87,2.87,2.87,-1.2829974894557503
61269872611,0,2.87,2.87,2.87,2.87,-1.2800890446764024
62479650637,0,2.87,2.87,2.87,2.87,-1.2834334911259138
63527681099,0,2.87,2.87,2.87,2.87,-1.2741030991398306
64539595322,0,2.87,2.87,2.87,2.87,-1.2286268663974789
65706717249,0,2.87,2.87,2.87,2.87,-1.1572936217878933
66874972328,0,2.87,2.87,2.87,2.87,-1.0764883905494655
68056974525,0,2.87,2.87,2.87,2.87,-1.0297177655807925
69192396253,0,2.87,2.87,2.87,2.87,-0.985769329479128
70299262589,0,2.87,2.87,2.87,2.87,-0.9593157628152525
71514340294,0,2.87,2.87,2.87,2.87,-0.9313952272620134
72612654316,0,2.87,2.87,2.87,2.87,-0.871297012261868
73676180661,0,2.87,2.87,2.87,2.87,-0.8148620254094704
74771295312,0,2.87,2.87,2.87,2.87,-0.7758183634275491
75831878557,0,2.87,2.87,2.87,2.87,-0.7466641289414067
76909116402,0,2.87,2.87,2.87,2.87,-0.7246399434105767
78026544310,0,-2.87,-2.87,-2.87,-2.87,-0.6924071771846414
79113098378,0,-2.87,-2.87,-2.87,-2.87,-0.6322788464551784
80240877638,0,-2.87,-2.87,-2.87,-2.87,-0.5996556198711197
81373608652,0,-2.87,-2.87,-2.87,-2.87,-0.586327224320753
82433702825,0,-2.87,-2.87,-2.87,-2.87,-0.5745818929302372
83497007800,0,-2.87,-2.87,-2.87,-2.87,-0.5432094942334769
84740425289,0,-2.87,-2.87,-2.87,-2.87,-0.4781364264336501
85773584377,0,-2.87,-2.87,-2.87,-2.87,-0.40265221307567933
86920844626,0,-2.87,-2.87,-2.87,-2.87,-0.3378704824847711
88020729508,0,-2.87,-2.87,-2.87,-2.87,-0.3053388290233644
89140226567,0,-2.87,-2.87,-2.87,-2.87,-0.2843113873058642
90270707464,0,-2.87,-2.87,-2.87,-2.87,-0.2367664767402985
91419611186,0,-2.87,-2.87,-2.87,-2.87,-0.16456516382538908
92516157556,0,-2.87,-2.87,-2.87,-2.87,-0.09109385310893027
93540664112,0,-2.87,-2.87,-2.87,-2.87,-0.06975819368957727
94712939340,0,-2.87,-2.87,-2.87,-2.87,-0.07945731662505734
95834097783,0,-2.87,-2.87,-2.87,-2.87,-0.09126275883650148
96928379569,0,-2.87,-2.87,-2.87,-2.87,-0.060665039904921156
98039599938,0,-2.87,-2.87,-2.87,-2.87,0.009015506033063359
99225210230,0,-2.87,-2.87,-2.87,-2.87,0.06340385536762663
100334598562,0,-2.87,-2.87,-2.87,-2.87,0.10406822777299596
101473313831,0,-2.87,-2.87,-2.87,-2.87,0.08988171702908751
102569670959,0,-2.87,-2.87,-2.87,-2.87,0.07059033335260063
103561417880,0,-2.87,-2.87,-2.87,-2.87,0.07306769610205348
104621482445,0,-2.87,-2.87,-2.87,-2.87,0.10495293045066063
105680541739,0,-2.87,-2.87,-2.87,-2.87,0.11500494054464713
106797465134,0,-2.87,-2.87,-2.87,-2.87,0.11347733901091073
107910639715,0,-2.87,-2.87,-2.87,-2.87,0.09738018644842235
108939398973,0,-2.87,-2.87,-2.87,-2.87,0.08910131226987467
109986654787,0,-2.87,-2.87,-2.87,-2.87,0.09739201655844908
111041725680,0,-2.87,-2.87,-2.87,-2.87,0.14239418439795057
112055612520,0,-2.87,-2.87,-2.87,-2.87,0.16429600927472104
113117845234,0,-2.87,-2.87,-2.87,-2.87,0.185583647791179
114171838835,0,-2.87,-2.87,-2.87,-2.87,0.1998896651831986
115276732102,0,-2.87,-2.87,-2.87,-2.87,0.2143669241435572
116460947635,0,-2.87,-2.87,-2.87,-2.87,0.24529451082344922
117560730381,0,-2.87,-2.87,-2.87,-2.87,0.2771527299121982
118722235960,0,-2.87,-2.87,-2.87,-2.87,0.3005386709348432
119836880319,0,-2.87,-2.87,-2.87,-2.87,0.3296243154105756
120985582447,0,-2.87,-2.87,-2.87,-2.87,0.3607537417071803
122130757591,0,-2.87,-2.87,-2.87,-2.87,0.4185686525376566
123267650801,0,-2.87,-2.87,-2.87,-2.87,0.4968048637775797
124370448305,0,-2.0166217815876006,-2.0166217815876006,-2.0166217815876006,-2.0166217815876006,0.5540522638669274
125525486016,0,-2.0008086735010147,-2.0008086735010147,-2.0008086735010147,-2.0008086735010147,0.597398008415416
126683832679,0,-1.0013061076402665,-1.0013061076402665,-1.0013061076402665,-1.0013061076402665,0.639808648588311
127850638728,0,-0.8088553869724274,-0.8088553869724274,-0.8088553869724274,-0.8088553869724274,0.6948896887559861
128981262747,0,-0.7089528062939644,-0.7089528062939644,-0.7089528062939644,-0.7089528062939644,0.7950991378902825
130167489344,0,-0.7164513695240021,-0.7164513695240021,-0.7164513695240021,-0.7164513695240021,0.9049253609519516
131267770031,0,-0.6482869245111943,-0.6482869245111943,-0.6482869245111943,-0.6482869245111943,0.996502498589255
132347634490,0,-0.6578210796415807,-0.6578210796415807,-0.6578210796415807,-0.6578210796415807,1.0537006491341503
133557630190,0,-0.6057286500930786,-0.6057286500930786,-0.6057286500930786,-0.6057286500930786,1.098991152168042
134699724079,0,-0.610215180516243,-0.610215180516243,-0.610215180516243,-0.610215180516243,1.1583562233309543
135786529175,0,-0.6183433069288731,-0.6183433069288731,-0.6183433069288731,-0.6183433069288731,1.2474488919003708
136920940090,0,-0.5931212207674981,-0.5931212207674981,-0.5931212207674981,-0.5931212207674981,1.333529486662262
138054419660,0,-0.600991380661726,-0.600991380661726,-0.600991380661726,-0.600991380661726,1.4092315034860574
139287599175,0,-0.8942566740512848,-0.8942566740512848,-0.8942566740512848,-0.8942566740512848,1.4651430543196045
140409526669,0,-0.8942566740512848,-0.8942566740512848,-0.8942566740512848,-0.8942566740512848,1.5033072392792393
141494867336,0,-0.8942566740512848,-0.8942566740512848,-0.8942566740512848,-0.8942566740512848,1.5157716418192588
142624903999,0,-0.8942566740512848,-0.8942566740512848,-0.8942566740512848,-0.8942566740512848,1.5510272968093983
143757258220,0,-0.8942566740512848,-0.8942566740512848,-0.8942566740512848,-0.8942566740512848,1.5934173463268437
144904832763,0,-0.8942566740512848,-0.8942566740512848,-0.8942566740512848,-0.8942566740512848,1.6436086325117478
146042677065,0,-0.8942566740512848,-0.8942566740512848,-0.8942566740512848,-0.8942566740512848,1.6749827185385557
147234630787,0,-1.031181128025055,-1.031181128025055,-1.031181128025055,-1.031181128025055,1.6979361656537753
148338159923,0,-1.0549705848097801,-1.0549705848097801,-1.0549705848097801,-1.0549705848097801,1.7208768502525502
149472407352,0,-1.0833991622924806,-1.0833991622924806,-1.0833991622924806,-1.0833991622924806,1.726238316448152
150655591966,0,-1.1095949950814248,-1.1095949950814248,-1.1095949950814248,-1.1095949950814248,1.7365825976357554
151790103311,0,-0.4937694276869297,-0.4937694276869297,-0.4937694276869297,-0.4937694276869297,1.7312709458901123
152955883678,0,-0.3423087400197983,-0.3423087400197983,-0.3423087400197983,-0.3423087400197983,1.7260322876331264
154076778884,0,-0.3546470621973276,-0.3546470621973276,-0.3546470621973276,-0.3546470621973276,1.7930186909048966
155241431430,0,-0.3582571180164814,-0.3582571180164814,-0.3582571180164814,-0.3582571180164814,1.8233573137259278
156406731978,0,-0.3603386409580708,-0.3603386409580708,-0.3603386409580708,-0.3603386409580708,1.867890612806048
157660502279,0,-0.4191469243168831,-0.4191469243168831,-0.4191469243168831,-0.4191469243168831,1.9433814303674763
158890952923,0,-0.4094872072339058,-0.4094872072339058,-0.4094872072339058,-0.4094872072339058,1.884004631238716
159944926247,0,-0.45409339025616646,-0.45409339025616646,-0.45409339025616646,-0.45409339025616646,1.499986250643285
161093212979,0,-0.45849554270505904,-0.45849554270505904,-0.45849554270505904,-0.45849554270505904,0.8119007298296054
162236028411,0,-0.4659436844289303,-0.4659436844289303,-0.4659436844289303,-0.4659436844289303,0.12152379116264864
163380623693,0,-0.47318081706762316,-0.47318081706762316,-0.47318081706762316,-0.47318081706762316,-0.4449078088990981
164554045002,0,-0.47490836307406425,-0.47490836307406425,-0.47490836307406425,-0.47490836307406425,-0.31258901712589793
165633582523,0,-0.4752593891322613,-0.4752593891322613,-0.4752593891322613,-0.4752593891322613,0.20822319026711472
